G,t,e1,e2,e3,add,e4,trust,advice,survey,patient,male,eng,gt10,uscan,fair,code
1,2083.0,14,9,9,TRUE,12,3,100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,febae4960424bfaa9f43823a46de20d069d912df
1,4631.0,19,18,9,FALSE,,0,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,d16db74969dd4a9f0bcbb868d11321ca8c621111
1,2173.0,38,31,33,TRUE,33,5,123,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,4fba27965131494f0b9d88e0a5b4b667731b277a
1,1358.0,11,9,9,TRUE,10,15,369,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,f4db328e313eebf11c0dc3748f7e6e2e09767bd9
1,2294.0,22,15,62,FALSE,,0,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,c8ad5250ff78de34fab14543d0eb8df78993202f
1,1072.0,19,18,14,TRUE,14,10,132,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,b22beca19e82ee16822c4d723a6be2cb2576fe86
1,1424.0,11,13,11,TRUE,15,10,128,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,3acb02fc32fed558784c2cb9f92bed0b3f2a8af6
1,306.0,18,667,588,,,,0,,,,,,,,
1,1244.0,13,11,10,FALSE,,5,33,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,7530b5382ce53c8e4cfa47763b151fbc1f75d8fc
1,2803.0,11,10,9,FALSE,,15,139,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,63296c5c3dc6688874bbed130eb06ad51f6435b0
1,1041.0,25,32,32,TRUE,30,5,79,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,c4ae2e4325813ff1eb4e15d970ec63486b7ca0bf
1,969.0,15,12,12,TRUE,17,15,207,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,b61f47c333f919a9082954d6531d08a801a18abc
1,1775.0,13,11,11,TRUE,11,5,235,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,e3241f99d08372c67b48dfa71a95f3efd8a868a4
1,2530.0,137,11,11,TRUE,11,15,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,73eb271ac943ab9b735bb1102d7401c1efe7a7b0
1,1088.0,11,9,9,TRUE,10,10,57,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,51ea30bc1b95baf61decbe3a312a9b99dbab0337
1,1839.0,11,10,10,TRUE,11,3,165,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,42e68b5f5787c2acd75b82c172566018aedd4a4b
1,764.0,22,21,17,FALSE,,15,70,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,42bf2e77d080c4ce0b001735ab61be6cde9dc857
1,132.0,691,667,588,TRUE,674,15,0,TRUE,FALSE,,,,,,
1,2256.0,97,211,73,FALSE,,1,75,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,1e952c427b5ce8c64e1104014dc2954597e3b10a
